Narration tail (as posted),Lines,$ ex GST,Register contractor,Retailer account,Directory candidates on this street,Your decision (site name),Notes,Web verification status,Verification source,Google search link
110 Evans Road,50,"$25,981.73",Journal (no supplier),,,NOT A PARK - property address,NOT A PARK - public property search identifies 90-110 Evans Road as a private/non-residential property,NOT A PARK - public property search identifies 90-110 Evans Road as a private/non-residential property,https://www.realestate.com.au/property/90-110-evans-rd-meadowbrook-qld-4131/,https://www.google.com/search?q=%22110+Evans+Road%22+Logan+QLD+park
Amenities Block Lot 3 Boundary St Beenle,40,"$21,997.69",Origin Energy (collective account),QB065632365,Bill Norris Oval; Chris Green Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Amenities+Block+Lot+3+Boundary+St+Beenle%22+Logan+QLD+park
Lot 804 Ivory Parkway,5,"$16,240.63",Journal (no supplier),,,Everleigh Park,"VERIFIED - official Council source identifies Everleigh Park at Ivory Parkway, Greenbank","VERIFIED - official Council source identifies Everleigh Park at Ivory Parkway, Greenbank",https://www.logan.qld.gov.au/community/community-services-and-support/sport-and-recreation/planning/sports-facilities-program,https://www.google.com/search?q=%22Lot+804+Ivory+Parkway%22+Logan+QLD+park
"To undertake plumbing works, pump outs a",48,"$14,162.04",Harpley Services Pty Ltd,,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22To+undertake+plumbing+works%2C+pump+outs+a%22+Logan+QLD+park
January Pump Out,1,"$12,587.76",Harpley Services Pty Ltd,,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22January+Pump+Out%22+Logan+QLD+park
Unit 1 23 Dennis Rd Springwood QLD 4127,1,"$10,975.44",Grange 1951 Pty Ltd,,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Unit+1+23+Dennis+Rd+Springwood+QLD+4127%22+Logan+QLD+park
Lot 9042 Buxton Avenue,5,"$9,820.23",Journal (no supplier),,Buxton Park,Buxton Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+9042+Buxton+Avenue%22+Logan+QLD+park
December Pump Out,1,"$8,595.66",Harpley Services Pty Ltd,,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22December+Pump+Out%22+Logan+QLD+park
1710 Chambers Flat Road,40,"$6,728.48",Journal (no supplier),,,Chambers Flat Logan Reserve,"PROBABLE - official park is on Chambers Flat Road, but the published page does not state 1710","PROBABLE - official park is on Chambers Flat Road, but the published page does not state 1710",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory/Chambers-Flat-Logan-Reserve,https://www.google.com/search?q=%221710+Chambers+Flat+Road%22+Logan+QLD+park
71 Cinderella Drive,95,"$5,846.17",Journal (no supplier),,Springwood Park,Springwood Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2271+Cinderella+Drive%22+Logan+QLD+park
Mayda St,4,"$4,302.54",Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Mayda+St%22+Logan+QLD+park
