name,lat,lon,coord_source,address,suburb_dir,facilities,park_id_dir,division,suburb,hierarchy,function,embellishment,status,lps_zone,parcels,area_sqm
Acacia Park,-27.6573867797852,153.043731689453,directory point,"Fern Street, Browns Plains",Browns Plains,"playground,picnic_area",1.0,7,BROWNS PLAINS,Local,Recreation,3,existing,Recreation and Open Space,1.0,23437.0
Acorn Park,-27.6591262817383,153.09391784668,directory point,"Acorn Court, Kingston",Kingston,playground,2.0,2,KINGSTON,Local,Recreation,3,existing,Recreation and Open Space,1.0,3089.0
Acorus Park,-27.6751308441162,153.042251586914,directory point,"Acorus Court, Regents Park",Regents Park,"playground,fitness_equipment",3.0,7,REGENTS PARK,Local,Recreation,3,existing,Recreation and Open Space,1.0,7660.0
Activity Park,-27.7469596862793,153.187103271484,directory point,"49 Kaiser Drive, Windaroo",Windaroo,"playground,skate_facilities,picnic_area",4.0,4,WINDAROO,Local,Recreation,2,existing,Recreation and Open Space,2.0,16229.0
Adam Park,-27.6602439880371,153.060195922852,directory point,"Adam Street, Browns Plains",Browns Plains,"playground,fitness_equipment",5.0,7,BROWNS PLAINS,Local,Recreation,3,existing,Recreation and Open Space,1.0,9992.0
Adelong Park,-27.6539878845215,153.179733276367,directory point,"Adelong Road, Shailer Park",Shailer Park,"playground,basketball,picnic_area",6.0,10,SHAILER PARK,Local,Recreation,2,existing,Recreation and Open Space,1.0,4232.0
Ainslie Park,-27.6751937866211,153.083160400391,directory point,"Debanie Court, Marsden",Marsden,"bbq_electric,playground,picnic_area",7.0,5,MARSDEN,Local,Recreation,1,existing,Recreation and Open Space,6.0,10354.0
Akers Park,-27.600414276123,153.112777709961,directory point,"Dorinda Crescent, Underwood",Underwood,"playground,bmx,picnic_area",8.0,3,UNDERWOOD,Local,Recreation,3,existing,Recreation and Open Space,1.0,6541.0
Alamein Street Junction,-27.719132,153.204035,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,4,existing,Centre,1.0,476.0
Albert Park,-27.6317501068115,153.103546142578,directory point,"Hague Street, Woodridge",Woodridge,"playground,basketball,picnic_area",9.0,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,1.0,7004.0
